-- P18 result
--------------------------------------------
HostNestNum = 50, P_a = 0.5
--------------------------------------------
-- 2019-01-06 10:11summary result data
OFV: 10981.5	/ CPU: 16.755	/ department sequence: [1, 17, 13, 5, 6, 7, 4, 11, 16, 8, 12, 15, 2, 14, 18, 10, 3, 9]
-- 2019-01-06 10:11summary result data
OFV: 10650.5	/ CPU: 17.718	/ department sequence: [9, 13, 3, 6, 10, 18, 14, 2, 15, 12, 8, 16, 11, 4, 7, 5, 17, 1]
-- 2019-01-06 10:11summary result data
OFV: 10682.5	/ CPU: 24.089	/ department sequence: [1, 17, 5, 7, 15, 8, 12, 11, 4, 2, 16, 14, 18, 10, 6, 3, 13, 9]
-- 2019-01-06 10:12summary result data
OFV: 10682.5	/ CPU: 29.732	/ department sequence: [1, 17, 5, 7, 15, 8, 12, 11, 4, 2, 16, 14, 18, 10, 6, 3, 13, 9]
-- 2019-01-06 10:12summary result data
OFV: 10677.5	/ CPU: 17.942	/ department sequence: [9, 13, 3, 6, 10, 5, 18, 14, 2, 16, 4, 11, 12, 8, 15, 7, 17, 1]
-- 2019-01-06 10:12summary result data
OFV: 10682.5	/ CPU: 16.766	/ department sequence: [9, 13, 3, 6, 10, 18, 14, 16, 2, 4, 11, 12, 8, 15, 7, 5, 17, 1]
-- 2019-01-06 10:13summary result data
OFV: 10682.5	/ CPU: 17.722	/ department sequence: [1, 17, 5, 7, 15, 8, 12, 11, 4, 2, 16, 14, 18, 10, 6, 3, 13, 9]
-- 2019-01-06 10:13summary result data
OFV: 10677.5	/ CPU: 22.02	/ department sequence: [9, 13, 3, 6, 10, 5, 18, 14, 2, 16, 4, 11, 12, 8, 15, 7, 17, 1]
-- 2019-01-06 10:13summary result data
OFV: 11099.5	/ CPU: 24.613	/ department sequence: [1, 3, 10, 18, 15, 14, 2, 12, 7, 4, 11, 16, 8, 6, 5, 17, 13, 9]
-- 2019-01-06 10:14summary result data
OFV: 10677.5	/ CPU: 16.411	/ department sequence: [9, 13, 3, 6, 10, 5, 18, 14, 2, 16, 4, 11, 12, 8, 15, 7, 17, 1]
